,store,changepoint_prior_scale,seasonality_mode,seasonality_prior_scale,rmse
31,8,0.5,multiplicative,10.0,867.7789508116103
0,9,0.001,additive,0.01,1206.6312025944355
1,9,0.001,additive,0.1,1203.2614723609477
2,9,0.001,additive,1.0,1217.7999478192119
3,9,0.001,additive,10.0,1195.0523057024818
4,9,0.001,multiplicative,0.01,1189.8158018542424
5,9,0.001,multiplicative,0.1,1124.0784486702605
6,9,0.001,multiplicative,1.0,1164.2357974092677
7,9,0.001,multiplicative,10.0,1131.9465302145811
8,9,0.01,additive,0.01,1129.4278879419694
9,9,0.01,additive,0.1,1122.2118146188159
10,9,0.01,additive,1.0,1119.1222878263366
11,9,0.01,additive,10.0,1125.8504771873863
12,9,0.01,multiplicative,0.01,1107.4670252892543
13,9,0.01,multiplicative,0.1,1069.0981350409425
14,9,0.01,multiplicative,1.0,1072.2972880284754
15,9,0.01,multiplicative,10.0,1068.1935677299805
16,9,0.1,additive,0.01,1162.9833083278158
17,9,0.1,additive,0.1,1151.7743153291547
18,9,0.1,additive,1.0,1151.5686897599403
19,9,0.1,additive,10.0,1152.713158351364
20,9,0.1,multiplicative,0.01,1150.7987187926283
21,9,0.1,multiplicative,0.1,1107.3950179690335
22,9,0.1,multiplicative,1.0,1105.3031962122543
23,9,0.1,multiplicative,10.0,1105.475182729739
24,9,0.5,additive,0.01,1204.5551184067763
25,9,0.5,additive,0.1,1195.803926856539
26,9,0.5,additive,1.0,1196.7737287353125
27,9,0.5,additive,10.0,1198.757562863749
28,9,0.5,multiplicative,0.01,1145.0331753193607
29,9,0.5,multiplicative,0.1,1148.0774838917705
30,9,0.5,multiplicative,1.0,1141.801998814495
31,9,0.5,multiplicative,10.0,1133.7232228023993
0,10,0.001,additive,0.01,726.4286525508935
1,10,0.001,additive,0.1,747.8843780243418
2,10,0.001,additive,1.0,747.5603162124387
3,10,0.001,additive,10.0,750.6559590487357
4,10,0.001,multiplicative,0.01,714.2053663678171
5,10,0.001,multiplicative,0.1,753.580329423723
6,10,0.001,multiplicative,1.0,745.5164044870695
7,10,0.001,multiplicative,10.0,750.3348162219941
8,10,0.01,additive,0.01,719.8115765587452
9,10,0.01,additive,0.1,732.1881406600991
10,10,0.01,additive,1.0,731.4447004807779
11,10,0.01,additive,10.0,730.996827024319
