,store,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
31,8,0.5,10.0,multiplicative,867.7789508116103
0,9,0.001,0.01,additive,1206.6312025944355
1,9,0.001,0.01,multiplicative,1189.8158018542424
2,9,0.001,0.1,additive,1203.2614723609477
3,9,0.001,0.1,multiplicative,1124.0784486702605
4,9,0.001,1.0,additive,1217.7999478192119
5,9,0.001,1.0,multiplicative,1164.2357974092677
6,9,0.001,10.0,additive,1195.0523057024818
7,9,0.001,10.0,multiplicative,1131.9465302145811
8,9,0.01,0.01,additive,1129.4278879419694
9,9,0.01,0.01,multiplicative,1107.4670252892543
10,9,0.01,0.1,additive,1122.2118146188159
11,9,0.01,0.1,multiplicative,1069.0981350409425
12,9,0.01,1.0,additive,1119.1222878263366
13,9,0.01,1.0,multiplicative,1072.2972880284754
14,9,0.01,10.0,additive,1125.8504771873863
15,9,0.01,10.0,multiplicative,1068.1935677299805
16,9,0.1,0.01,additive,1162.9833083278158
17,9,0.1,0.01,multiplicative,1150.7987187926283
18,9,0.1,0.1,additive,1151.7743153291547
19,9,0.1,0.1,multiplicative,1107.3950179690335
20,9,0.1,1.0,additive,1151.5686897599403
21,9,0.1,1.0,multiplicative,1105.3031962122543
22,9,0.1,10.0,additive,1152.713158351364
23,9,0.1,10.0,multiplicative,1105.475182729739
24,9,0.5,0.01,additive,1204.5551184067763
25,9,0.5,0.01,multiplicative,1145.0331753193607
26,9,0.5,0.1,additive,1195.803926856539
27,9,0.5,0.1,multiplicative,1148.0774838917705
28,9,0.5,1.0,additive,1196.7737287353125
29,9,0.5,1.0,multiplicative,1141.801998814495
30,9,0.5,10.0,additive,1198.757562863749
31,9,0.5,10.0,multiplicative,1133.7232228023993
0,10,0.001,0.01,additive,726.4286525508935
1,10,0.001,0.01,multiplicative,714.2053663678171
2,10,0.001,0.1,additive,747.8843780243418
3,10,0.001,0.1,multiplicative,753.580329423723
4,10,0.001,1.0,additive,747.5603162124387
5,10,0.001,1.0,multiplicative,745.5164044870695
6,10,0.001,10.0,additive,750.6559590487357
7,10,0.001,10.0,multiplicative,750.3348162219941
8,10,0.01,0.01,additive,719.8115765587452
9,10,0.01,0.01,multiplicative,703.8148745527216
10,10,0.01,0.1,additive,732.1881406600991
11,10,0.01,0.1,multiplicative,738.9467159607027
12,10,0.01,1.0,additive,731.4447004807779
13,10,0.01,1.0,multiplicative,739.4365048344246
14,10,0.01,10.0,additive,730.996827024319
15,10,0.01,10.0,multiplicative,738.8516988456323
16,10,0.1,0.01,additive,727.5961186728628
17,10,0.1,0.01,multiplicative,710.6785171702485
18,10,0.1,0.1,additive,738.9846202694292
19,10,0.1,0.1,multiplicative,746.982745546217
20,10,0.1,1.0,additive,739.5613432892394
21,10,0.1,1.0,multiplicative,748.2955151150084
22,10,0.1,10.0,additive,739.3623116174346
23,10,0.1,10.0,multiplicative,747.7398606011571
24,10,0.5,0.01,additive,704.5154956603803
25,10,0.5,0.01,multiplicative,695.8456839133294
26,10,0.5,0.1,additive,713.4425715795584
27,10,0.5,0.1,multiplicative,723.5786427380636
28,10,0.5,1.0,additive,711.6099501259495
29,10,0.5,1.0,multiplicative,723.9255887593511
30,10,0.5,10.0,additive,712.6676710483198
31,10,0.5,10.0,multiplicative,742.8266183853771
0,11,0.001,0.01,additive,1296.9065212203589
1,11,0.001,0.01,multiplicative,1777.6047637509528
2,11,0.001,0.1,additive,1306.1388666465516
3,11,0.001,0.1,multiplicative,1444.583778152138
4,11,0.001,1.0,additive,1305.5327690480647
5,11,0.001,1.0,multiplicative,1478.100265523246
6,11,0.001,10.0,additive,1307.8830960867317
7,11,0.001,10.0,multiplicative,1482.9092192799183
8,11,0.01,0.01,additive,1281.2796803354481
9,11,0.01,0.01,multiplicative,1326.3779237000203
10,11,0.01,0.1,additive,1297.4195500192538
11,11,0.01,0.1,multiplicative,1284.1262671598463
12,11,0.01,1.0,additive,1297.1822538192175
13,11,0.01,1.0,multiplicative,1282.4311356473834
14,11,0.01,10.0,additive,1299.116594377525
15,11,0.01,10.0,multiplicative,1283.6712106678215
16,11,0.1,0.01,additive,1278.9474065405113
17,11,0.1,0.01,multiplicative,1454.2116610148232
18,11,0.1,0.1,additive,1289.3634787455055
19,11,0.1,0.1,multiplicative,1296.4513396594566
20,11,0.1,1.0,additive,1289.7006815226277
21,11,0.1,1.0,multiplicative,1298.3232687030827
22,11,0.1,10.0,additive,1290.3041675728034
23,11,0.1,10.0,multiplicative,1298.7035135938554
24,11,0.5,0.01,additive,1321.2114437851135
25,11,0.5,0.01,multiplicative,1553.0708102173771
26,11,0.5,0.1,additive,1296.5761511161395
27,11,0.5,0.1,multiplicative,1291.3248188651462
28,11,0.5,1.0,additive,1296.724880232322
29,11,0.5,1.0,multiplicative,1299.5945719957701
30,11,0.5,10.0,additive,1296.4886920721876
31,11,0.5,10.0,multiplicative,1299.4051978694733
0,12,0.001,0.01,additive,1310.8357400297582
1,12,0.001,0.01,multiplicative,1478.188253752259
2,12,0.001,0.1,additive,1355.7210665587393
3,12,0.001,0.1,multiplicative,1454.2629560110722
4,12,0.001,1.0,additive,1321.7806837025792
5,12,0.001,1.0,multiplicative,1440.9067491182734
6,12,0.001,10.0,additive,1332.4202031640243
7,12,0.001,10.0,multiplicative,1458.5492221974657
8,12,0.01,0.01,additive,1360.0611443758296
9,12,0.01,0.01,multiplicative,1356.2201046774003
10,12,0.01,0.1,additive,1363.374701672895
11,12,0.01,0.1,multiplicative,1367.6209829007323
12,12,0.01,1.0,additive,1363.3993372519055
13,12,0.01,1.0,multiplicative,1359.323717409573
14,12,0.01,10.0,additive,1365.744999093134
15,12,0.01,10.0,multiplicative,1359.6261619440897
16,12,0.1,0.01,additive,1359.3718987621257
17,12,0.1,0.01,multiplicative,1318.0437724729672
18,12,0.1,0.1,additive,1369.2773338426152
19,12,0.1,0.1,multiplicative,1355.0462052543367
20,12,0.1,1.0,additive,1369.85754083711
21,12,0.1,1.0,multiplicative,1358.4731635258734
22,12,0.1,10.0,additive,1369.8759078250225
23,12,0.1,10.0,multiplicative,1358.6645854013875
24,12,0.5,0.01,additive,1313.0920932076644
25,12,0.5,0.01,multiplicative,1303.7718305789065
26,12,0.5,0.1,additive,1357.8401848895912
27,12,0.5,0.1,multiplicative,1287.8269704351364
28,12,0.5,1.0,additive,1356.6222031070042
29,12,0.5,1.0,multiplicative,1285.5910876841438
30,12,0.5,10.0,additive,1356.8963961881964
31,12,0.5,10.0,multiplicative,1317.130519096824
0,13,0.001,0.01,additive,1099.0310204620746
1,13,0.001,0.01,multiplicative,1733.4180998067168
2,13,0.001,0.1,additive,1142.068034528602
3,13,0.001,0.1,multiplicative,1413.3419266722162
4,13,0.001,1.0,additive,1151.906382670875
5,13,0.001,1.0,multiplicative,1480.9457223337404
6,13,0.001,10.0,additive,1106.1739721380757
7,13,0.001,10.0,multiplicative,1734.9246356375588
8,13,0.01,0.01,additive,1101.1456954849637
9,13,0.01,0.01,multiplicative,1119.8162825228549
10,13,0.01,0.1,additive,1106.5589175815148
11,13,0.01,0.1,multiplicative,1129.7796628945566
12,13,0.01,1.0,additive,1109.7370172725177
13,13,0.01,1.0,multiplicative,1123.689476870326
14,13,0.01,10.0,additive,1104.361424848989
15,13,0.01,10.0,multiplicative,1124.7872640044154
16,13,0.1,0.01,additive,1134.7378860143654
17,13,0.1,0.01,multiplicative,1195.0364435384952
18,13,0.1,0.1,additive,1135.897815585191
19,13,0.1,0.1,multiplicative,1183.3145984810765
20,13,0.1,1.0,additive,1136.8450701489865
21,13,0.1,1.0,multiplicative,1185.3620765624687
22,13,0.1,10.0,additive,1136.3750459421287
23,13,0.1,10.0,multiplicative,1185.359000139902
24,13,0.5,0.01,additive,1135.9254851767153
25,13,0.5,0.01,multiplicative,1191.4602739839627
26,13,0.5,0.1,additive,1145.6935204009405
27,13,0.5,0.1,multiplicative,1190.5595948823623
28,13,0.5,1.0,additive,1146.1879987145587
29,13,0.5,1.0,multiplicative,1195.3934124021666
30,13,0.5,10.0,additive,1146.4505315927925
31,13,0.5,10.0,multiplicative,1198.8696110554952
0,14,0.001,0.01,additive,717.7848837237278
1,14,0.001,0.01,multiplicative,713.7624067865929
2,14,0.001,0.1,additive,730.0217578138548
3,14,0.001,0.1,multiplicative,722.9847631672616
4,14,0.001,1.0,additive,737.3262313567293
5,14,0.001,1.0,multiplicative,708.821684815626
6,14,0.001,10.0,additive,725.9684789602328
7,14,0.001,10.0,multiplicative,708.8691418168303
8,14,0.01,0.01,additive,706.2814148325672
9,14,0.01,0.01,multiplicative,741.560129362225
10,14,0.01,0.1,additive,706.4828694820693
11,14,0.01,0.1,multiplicative,698.7780182913551
12,14,0.01,1.0,additive,706.7344527594612
13,14,0.01,1.0,multiplicative,700.5105698911701
14,14,0.01,10.0,additive,707.0972360688871
15,14,0.01,10.0,multiplicative,700.3582788155009
16,14,0.1,0.01,additive,710.8361727026421
17,14,0.1,0.01,multiplicative,757.624024485579
18,14,0.1,0.1,additive,715.9114007133336
19,14,0.1,0.1,multiplicative,719.185942954229
20,14,0.1,1.0,additive,715.7033635762899
21,14,0.1,1.0,multiplicative,720.7452605707896
22,14,0.1,10.0,additive,715.8269960641605
23,14,0.1,10.0,multiplicative,720.2083928477
24,14,0.5,0.01,additive,730.3316915758462
25,14,0.5,0.01,multiplicative,773.2756986455503
26,14,0.5,0.1,additive,734.0233946151069
27,14,0.5,0.1,multiplicative,736.5751375347743
28,14,0.5,1.0,additive,733.2483804158115
29,14,0.5,1.0,multiplicative,737.3176668909481
30,14,0.5,10.0,additive,733.8835887153433
31,14,0.5,10.0,multiplicative,737.8171533545615
